edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
714,3550,5506,updates,341,338,22,19,0.064500
715,3711,5506,updates,216,210,22,16,0.101900
716,4585,5506,updates,83,82,22,21,0.265100
717,1831,5531,obsoletes,42,25,18,1,0.428600
718,1036,5536,obsoletes,34,28,8,2,0.235300
719,1036,5537,obsoletes,31,28,5,2,0.161300
720,2445,5545,obsoletes,44,18,26,0,0.590900
721,2743,5554,updates,65,64,3,2,0.046200
722,4880,5581,updates,33,33,1,1,0.030300
723,3032,5586,updates,149,113,51,15,0.342300
724,4385,5586,updates,81,56,51,26,0.629600
725,5085,5586,updates,79,48,51,20,0.645600
726,3411,5590,updates,145,144,8,7,0.055200
727,3414,5590,updates,90,87,8,5,0.088900
728,3417,5590,updates,41,34,8,1,0.195100
729,4340,5595,updates,84,83,6,5,0.071400
730,4340,5596,updates,83,83,4,4,0.048200
731,5357,5618,updates,43,43,7,7,0.162800
732,3261,5621,updates,546,546,5,5,0.009200
733,3261,5626,updates,550,546,29,25,0.052700
734,3327,5626,updates,37,15,29,7,0.783800
735,3261,5630,updates,547,546,14,13,0.025600
736,3931,5641,updates,55,53,4,2,0.072700
737,4646,5646,obsoletes,104,24,83,3,0.798100
738,3852,5652,obsoletes,196,69,136,9,0.693900
739,2026,5657,updates,317,316,16,15,0.050500
740,2581,5681,obsoletes,132,65,70,3,0.530300
741,4918,5689,updates,31,31,2,2,0.064500
742,2328,5709,updates,209,199,26,16,0.124400
743,3209,5711,updates,238,238,2,2,0.008400
744,3588,5719,updates,73,73,2,2,0.027400
745,2460,5722,updates,342,338,15,11,0.043900
746,3265,5727,updates,89,81,11,3,0.123600
747,3588,5729,updates,74,73,4,3,0.054100
748,4930,5730,obsoletes,40,9,35,4,0.875000
749,3330,5735,obsoletes,38,16,22,0,0.578900
750,3501,5738,updates,129,129,4,4,0.031000
751,2223,5741,updates,2163,33,2136,6,0.987500
752,4844,5741,updates,2150,27,2136,13,0.993500
753,2026,5742,updates,322,316,11,5,0.034200
754,3932,5742,obsoletes,63,52,11,0,0.174600
755,5246,5746,updates,396,394,19,17,0.048000
756,4366,5746,updates,49,30,19,0,0.387800
757,4347,5746,updates,61,47,19,5,0.311500
758,4346,5746,updates,119,106,19,6,0.159700
759,2246,5746,updates,193,179,19,5,0.098400
760,3851,5751,obsoletes,143,81,71,9,0.496500
761,3370,5754,updates,52,44,24,16,0.461500
762,3281,5755,obsoletes,37,24,15,2,0.405400
763,4055,5756,updates,41,39,4,2,0.097600
764,3279,5758,updates,59,55,9,5,0.152500
765,3550,5761,updates,347,338,34,25,0.098000
766,3551,5761,updates,142,116,34,8,0.239400
767,2780,5771,updates,50,34,17,1,0.340000
768,2616,5785,updates,290,275,24,9,0.082800
